ffy,stfips,st,age_at_start,age_at_lf,legally_free_first_day,total_kids_in_care_first_day,per_leg_free_first_day,became_legally_free,exit_one_year,per_exit_one_year
2010,55,WI,1,1,202,2053,0.098392596,386,325,0.841968912
2010,55,WI,2,2,181,1384,0.130780347,213,156,0.732394366
2010,55,WI,3,3,135,1326,0.101809955,108,72,0.666666667
2010,55,WI,4,4,75,984,0.076219512,19,7,0.368421053
2010,56,WY,0,0,48,857,0.056009335,80,60,0.75
2010,56,WY,1,1,13,248,0.052419355,35,29,0.828571429
2010,56,WY,2,2,11,189,0.058201058,28,21,0.75
2010,56,WY,3,3,19,249,0.076305221,13,9,0.692307692
2010,56,WY,4,4,5,171,0.029239766,4,1,0.25
2010,72,PR,0,0,5,2451,0.002039984,22,6,0.272727273
2010,72,PR,1,1,1,455,0.002197802,14,4,0.285714286
2010,72,PR,2,2,1,595,0.001680672,8,2,0.25
2010,72,PR,3,,3,962,0.003118503,,,
2010,72,PR,4,,0,439,0,,,
2011,1,AL,0,0,806,4680,0.172222222,429,249,0.58041958
2011,1,AL,1,1,175,1638,0.106837607,222,159,0.716216216
2011,1,AL,2,2,229,1136,0.201584507,111,57,0.513513514
2011,1,AL,3,3,284,1200,0.236666667,77,25,0.324675325
2011,1,AL,4,4,118,706,0.16713881,19,8,0.421052632
2011,2,AK,0,0,358,1663,0.215273602,323,214,0.6625387
2011,2,AK,1,1,96,683,0.140556369,179,134,0.748603352
2011,2,AK,2,2,112,469,0.23880597,89,54,0.606741573
2011,2,AK,3,3,118,373,0.316353887,41,23,0.56097561
2011,2,AK,4,4,32,138,0.231884058,14,3,0.214285714
2011,4,AZ,0,0,2293,9043,0.253566294,2322,1720,0.740740741
2011,4,AZ,1,1,926,3923,0.236043844,1318,1064,0.807283763
2011,4,AZ,2,2,670,2324,0.288296041,604,422,0.698675497
2011,4,AZ,3,3,538,1858,0.289558665,313,200,0.638977636
2011,4,AZ,4,4,159,938,0.169509595,87,34,0.390804598
2011,5,AR,0,0,789,3391,0.232674727,644,397,0.616459627
2011,5,AR,1,1,258,1395,0.184946237,362,277,0.76519337
2011,5,AR,2,2,234,898,0.260579065,175,90,0.514285714
2011,5,AR,3,3,227,753,0.301460823,96,23,0.239583333
2011,5,AR,4,4,70,345,0.202898551,11,7,0.636363636
2011,6,CA,0,0,6904,46510,0.148441195,6074,3769,0.620513665
2011,6,CA,1,1,2981,16012,0.18617287,3940,2607,0.661675127
2011,6,CA,2,2,1981,10721,0.184777539,1361,777,0.570903747
2011,6,CA,3,3,1415,12066,0.117271672,614,327,0.53257329
2011,6,CA,4,4,527,7711,0.068343924,159,58,0.364779874
2011,8,CO,0,0,1012,4811,0.210351278,768,428,0.557291667
2011,8,CO,1,1,397,1607,0.247044182,512,327,0.638671875
2011,8,CO,2,2,264,942,0.280254777,171,65,0.380116959
2011,8,CO,3,3,268,1267,0.211523283,77,30,0.38961039
2011,8,CO,4,4,83,995,0.083417085,8,6,0.75
2011,9,CT,0,0,667,4136,0.161266925,469,284,0.60554371
2011,9,CT,1,1,174,1336,0.130239521,298,209,0.701342282
2011,9,CT,2,2,157,765,0.205228758,105,51,0.485714286
2011,9,CT,3,3,208,1117,0.186213071,48,20,0.416666667
2011,9,CT,4,4,128,918,0.139433551,18,4,0.222222222
2011,10,DE,0,0,149,598,0.24916388,96,59,0.614583333
2011,10,DE,1,1,30,181,0.165745856,49,40,0.816326531
2011,10,DE,2,2,42,133,0.315789474,33,14,0.424242424
2011,10,DE,3,3,56,166,0.337349398,13,5,0.384615385
2011,10,DE,4,4,21,118,0.177966102,1,0,0
2011,11,DC,0,0,103,1367,0.075347476,95,86,0.905263158
2011,11,DC,1,1,16,407,0.039312039,50,47,0.94
2011,11,DC,2,2,27,365,0.073972603,29,26,0.896551724
2011,11,DC,3,3,44,380,0.115789474,11,10,0.909090909
2011,11,DC,4,4,16,215,0.074418605,5,3,0.6
2011,12,FL,0,0,3269,16904,0.193386181,3329,2278,0.684289576
2011,12,FL,1,1,1071,7649,0.140018303,1840,1419,0.771195652
2011,12,FL,2,2,813,4181,0.194451088,801,523,0.652933833
2011,12,FL,3,3,940,3397,0.276714748,543,281,0.517495396
2011,12,FL,4,4,445,1677,0.2653548,145,55,0.379310345
2011,13,GA,0,0,1315,7140,0.184173669,1035,618,0.597101449
2011,13,GA,1,1,433,2771,0.156261278,565,399,0.70619469
2011,13,GA,2,2,326,1515,0.215181518,261,132,0.505747126
2011,13,GA,3,3,393,1839,0.2137031,175,73,0.417142857
2011,13,GA,4,4,163,1015,0.160591133,34,14,0.411764706
2011,15,HI,0,0,311,1088,0.285845588,213,149,0.699530516
2011,15,HI,1,1,83,410,0.202439024,122,93,0.762295082
2011,15,HI,2,2,61,287,0.212543554,57,37,0.649122807
2011,15,HI,3,3,107,256,0.41796875,26,17,0.653846154
2011,15,HI,4,4,60,135,0.444444444,8,2,0.25
2011,16,ID,0,0,282,1300,0.216923077,244,183,0.75
2011,16,ID,1,1,82,477,0.171907757,118,105,0.889830508
2011,16,ID,2,2,88,348,0.252873563,56,38,0.678571429
2011,16,ID,3,3,76,321,0.236760125,60,35,0.583333333
2011,16,ID,4,4,36,154,0.233766234,10,5,0.5
2011,17,IL,0,0,1856,13705,0.135425027,998,263,0.263527054
2011,17,IL,1,1,571,5581,0.102311414,509,164,0.322200393
2011,17,IL,2,2,653,3877,0.168429198,329,75,0.227963526
2011,17,IL,3,3,474,2895,0.16373057,146,22,0.150684932
2011,17,IL,4,4,158,1352,0.116863905,14,2,0.142857143
2011,18,IN,0,0,1876,11205,0.167425257,1471,925,0.628823929
2011,18,IN,1,1,603,4556,0.132352941,802,570,0.710723192
2011,18,IN,2,2,545,2909,0.187349605,407,237,0.582309582
2011,18,IN,3,3,523,2511,0.208283552,225,101,0.448888889
2011,18,IN,4,4,205,1229,0.166802278,37,17,0.459459459
2011,19,IA,0,0,827,5531,0.149520882,929,702,0.755651238
2011,19,IA,1,1,390,1946,0.2004111,584,472,0.808219178
2011,19,IA,2,2,239,1242,0.192431562,223,149,0.668161435
2011,19,IA,3,3,150,1333,0.112528132,105,75,0.714285714
2011,19,IA,4,4,48,1010,0.047524752,17,6,0.352941176
2011,20,KS,0,0,1354,5216,0.25958589,833,435,0.522208884
2011,20,KS,1,1,369,1790,0.206145251,438,283,0.646118721
2011,20,KS,2,2,416,1320,0.315151515,218,97,0.444954128
2011,20,KS,3,3,393,1332,0.295045045,135,45,0.333333333
2011,20,KS,4,4,176,774,0.227390181,42,10,0.238095238
2011,21,KY,0,0,1184,5814,0.203646371,856,529,0.617990654
2011,21,KY,1,1,296,2005,0.147630923,375,292,0.778666667
2011,21,KY,2,2,289,1350,0.214074074,233,152,0.652360515
2011,21,KY,3,3,371,1434,0.258716876,186,73,0.392473118
2011,21,KY,4,4,228,1025,0.222439024,62,12,0.193548387
2011,22,LA,0,0,844,4043,0.208755874,755,443,0.586754967
2011,22,LA,1,1,268,1679,0.159618821,451,300,0.66518847
2011,22,LA,2,2,242,1077,0.224698236,191,100,0.523560209
2011,22,LA,3,3,231,821,0.28136419,100,37,0.37
2011,22,LA,4,4,103,466,0.221030043,13,6,0.461538462
2011,23,ME,0,0,504,1415,0.356183746,287,143,0.49825784
2011,23,ME,1,1,183,609,0.300492611,176,102,0.579545455
2011,23,ME,2,2,114,317,0.359621451,69,23,0.333333333
2011,23,ME,3,3,138,320,0.43125,34,16,0.470588235
2011,23,ME,4,4,69,169,0.408284024,8,2,0.25
2011,24,MD,0,0,260,5088,0.051100629,265,205,0.773584906
2011,24,MD,1,1,87,1566,0.055555556,146,130,0.890410959
2011,24,MD,2,2,62,1013,0.061204344,69,47,0.68115942
2011,24,MD,3,3,76,1551,0.049000645,41,24,0.585365854
2011,24,MD,4,4,35,958,0.036534447,9,4,0.444444444
2011,25,MA,0,0,1581,7616,0.207589286,750,358,0.477333333
2011,25,MA,1,1,564,2350,0.24,464,246,0.530172414
2011,25,MA,2,2,460,1576,0.291878173,190,77,0.405263158
2011,25,MA,3,3,413,2141,0.192900514,82,32,0.390243902
2011,25,MA,4,4,144,1549,0.092963202,14,3,0.214285714
2011,26,MI,0,0,4074,13746,0.296377128,2299,1201,0.522401044
2011,26,MI,1,1,1411,5219,0.270358306,1244,800,0.643086817
2011,26,MI,2,2,1076,3320,0.324096386,585,290,0.495726496
2011,26,MI,3,3,1037,3037,0.341455384,357,97,0.271708683
2011,26,MI,4,4,550,2170,0.253456221,113,14,0.123893805
2011,27,MN,0,0,998,4106,0.243058938,623,307,0.492776886
2011,27,MN,1,1,355,1252,0.283546326,336,192,0.571428571
2011,27,MN,2,2,258,829,0.311218335,153,68,0.444444444
2011,27,MN,3,3,270,1241,0.217566479,95,35,0.368421053
2011,27,MN,4,4,115,784,0.146683673,39,12,0.307692308
2011,28,MS,0,0,506,3116,0.162387677,385,242,0.628571429
2011,28,MS,1,1,124,1189,0.104289319,205,148,0.72195122
2011,28,MS,2,2,144,813,0.177121771,101,61,0.603960396
2011,28,MS,3,3,156,725,0.215172414,65,26,0.4
2011,28,MS,4,4,82,389,0.210796915,14,7,0.5
2011,29,MO,0,0,952,7997,0.119044642,1167,937,0.802913453
2011,29,MO,1,1,208,2993,0.069495489,653,576,0.882082695
2011,29,MO,2,2,256,2045,0.125183374,346,263,0.760115607
2011,29,MO,3,3,303,1924,0.157484407,138,78,0.565217391
2011,29,MO,4,4,185,1035,0.178743961,30,20,0.666666667
2011,30,MT,0,0,337,1645,0.204863222,202,127,0.628712871
2011,30,MT,1,1,92,628,0.146496815,108,78,0.722222222
2011,30,MT,2,2,85,467,0.182012848,54,35,0.648148148
2011,30,MT,3,3,105,383,0.274151436,36,13,0.361111111
2011,30,MT,4,4,55,167,0.329341317,4,1,0.25
2011,31,NE,0,0,514,4158,0.123617124,466,313,0.67167382
2011,31,NE,1,1,125,1406,0.088904694,254,196,0.771653543
2011,31,NE,2,2,138,954,0.144654088,123,75,0.609756098
2011,31,NE,3,3,161,1006,0.160039761,75,37,0.493333333
2011,31,NE,4,4,90,792,0.113636364,14,5,0.357142857
2011,32,NV,0,0,1128,4440,0.254054054,672,417,0.620535714
2011,32,NV,1,1,398,1876,0.212153518,370,273,0.737837838
2011,32,NV,2,2,384,1257,0.30548926,185,104,0.562162162
2011,32,NV,3,3,270,951,0.283911672,102,36,0.352941176
2011,32,NV,4,4,76,356,0.213483146,15,4,0.266666667
2011,33,NH,0,0,105,634,0.165615142,105,81,0.771428571
2011,33,NH,1,1,32,194,0.164948454,53,47,0.886792453
2011,33,NH,2,2,41,147,0.278911565,34,23,0.676470588
2011,33,NH,3,3,27,175,0.154285714,14,7,0.5
2011,33,NH,4,4,5,118,0.042372881,4,4,1
2011,34,NJ,0,0,960,6169,0.155616794,1092,766,0.701465201
2011,34,NJ,1,1,418,2829,0.147755391,672,499,0.742559524
2011,34,NJ,2,2,268,1391,0.192667146,242,159,0.657024793
2011,34,NJ,3,3,204,1277,0.159749413,145,98,0.675862069
